Plaza and Valdés,Universitat Ramon Llull,
Portico,Université catholique de Louvain,
PPC,Université d'Oran 2,
Presses de l′Université Laval,Université de Normandie,
Progedid,University at Albany - State University of New York USA,
Prolog-Verlag,,
Promedios: Universidad Santo Tomás (USTA),"University College London, UK",
Representação da UNESCO no Brasil,,
Carocci Editore,"University of Alberta, Canada",
RomaTRE-Press,"University of Birmingham, Birmingham, UK",
Routledge,University of California,
,,
,,
,,
Rowman & Littlefield Publishing Group,"University of Edinburgh, Edinburgh, Scotland",
SAGE Publications,University of Glasgow,
"Salezjański Wolontariat Misyjny ""Młodzi Światu""",,
,University of Hawai'i at Manoa,
Edizioni San Paolo ,,
Santa,"University of Illinois at Urbana-Champaign, US",
Schneider Verlag Hohengehren,"University of Leeds, Leeds, UK",
,"University of Leicester, Leicester, UK",
,"University of Massachusetts Amherst, Amherst, MA, USA",
,"University of Michigan, USA",
,University of Missouri - Saint Louis,
,University of Missouri--Kansas City,
Sense Publishers,"University of Missouri-Columbia
 ",
,"University of New England, Maine, UK",
Servicio de Publicaciones de la Universidad de Murcia,,
Servicio de Publicaciones de la Universidad de Oviedo,University of Oregon. US,
Servicio de Publicaciones de la Universidad de Sevilla,University of Oulu Graduate School,
Solution Tree,University of Phoenix,
,"University of Pittsburgh, Pennsylvania. US",
Springer,"University of Reading, Berkshire, UK",
,"University of San Francisco, Los Angeles, CA, USA",
,"University of San Francisco, San Francisco, CA, USA",
Springer Science and Business Media LLC,"University of Sheffield. Sheffield, UK",
,"University of South Carolina, South Carolina, USA",
,"University of South Florida, Gainesville, US",
Stowarzyszenie Wspierania Działań Młodzieży CZ-ART,"University of Southampton, Southampton, UK",
Studienverlag,"University of Sussex, Brighton, UK",
Tecnograph,,
Tecnos,"University of Technology, Sydney, Australia",
The Forum on Education Abroad,,
The MIT Press,"University of Toronto, Canada",
Tirant lo Blanch,,
Towarzystwo Naukowe Franciszka Salezego,,
transcript Verlag,"University of Twente, Enschede, Netherlands",
Txalaparta,University of Washington,
UA Editora,"University of York, UK",
UCL Press,,
,"WASHINGTON STATE UNIVERSITY, Pullman, USA",
"UIED, FCT, Universidade Nova de Lisboa","Western Kentucky University, Bowling Green, KY, USA",
"UNED, Universidad Nacional de Educación a Distancia.","Western Michigan University, Michigan, US",
UNESCO,,
,"Wilkes University, US",
Universidad Central - Colombia,William T. Grant Foundation,
Universidad de Alcalá-Educación 2030-UNESCO-Fundación Santillana,WOSO,
Universidad de La Laguna,서울대학교 대학원,
Universidad de Valladolid-Asociación Universitaria de Profesorado de Didáctica de las Ciencias Sociales (AUPDCS),,
Universidad de Zaragoza,,
Universidad Nacional de Educación a Distancia,,
Universidade da Coruña,,
"Universidade do Porto, Faculdade de Psicologia e de Ciências da Educação, CIIE",,
Universidade Estadual de Maringa,,
Universidade Federal de Sao Paulo,,
Universitas Editorial,,
Universitat de València,,
,,
Universitat Politecnica de Valencia,,
"Universität Rostock, Wissenschaftliche Weiterbildung",,
Universitat Rovira I Virgili,,
"University Library System, University of Pittsburgh",,
University of Jyväskylä and Eritrea Institute of Technology.,,
University of York,,
UVH - Universitätsverlag Hildesheim,,
"Valencia, Tirant lo Blanch.",,
Van Gennep,,
,,
Verlag Herder,,
Vicerrectoría de Universidad Abierta and a Distancia VUAD.,,
Vitoria-,,
"Voces de la Educación - Escuela Normal Superior Veracruzana ""Dr",,
Volta la carta,,
Walter de Gruyter GmbH,,
Warsaw University Press,,
Waxmann,,
,,
Wiley,,
Wochenschau Verlag,,
,,
Wydawnictwo Adam Marszałek,,
Wydawnictwo Akademii Pedagogiki Specjalnej,,
Wydawnictwo Marron,,
Wydawnictwo Naukowe Dolnośląskiej Szkoły Wyższej i Instytut Globalnej Odpowiedzialności,,
Wydawnictwo Politechniki Śląskiej,,
Wydawnictwo UKSW,,
Wydawnictwo Uniwersytetu Przyrodniczo-Humanistycznego,,
Wyższa Szkoła Przedsiębiorczości,,
Xx Encontro Internacional Sobre Gestão Ambiental E Meio Ambiente.,,
Zed Books Ltd,,
Grundschul verband,,
