,type,title,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,year,publisher,main_theme,publisher_place,secondary_theme,lang,link,doi,publication_country,search_term,rest
1714,Doctoral Theses,Desarrollo metodológico de evaluación y aplicación de la sostenibilidad como base en los modelos educativos para la evolución e innovación de la enseñanza de la arquitectura. Modelo educativo de estudio México y España.,"Galindo Ortiz, J.",,,,,,,,,,2016,Universidad Politécnica de Madrid,['Higher education research'],,[],Spanish,http://oa.upm.es/40327/1/JESSICA_GALINDO_ORTIZ.pdf,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1715,Doctoral Theses,La ética como fundamento de la responsabilidad social: el fomento de la perspectiva de género como praxis socialmente responsable en la universidad,"Rueda López, R.",,,,,,,,,,2016,Universidad de Córdoba,['Higher education research'],,[],Spanish,https://helvia.uco.es/xmlui/handle/10396/14503,not found,,EDUCACIÓN PARA LA TRANSFORMACIÓN SOCIAL,
1729,Doctoral Theses,La cooperación y la educación como estrategias de supervivencia colectiva con recursos limitados. Un análisis de los mecanismos adaptativos desarrollados por los refugiados saharauis.,"Ariza Núñez, A.",,,,,,,,,,2016,Universidad de Málaga,"['community work', 'Informal education including youth work, media']",,[],Spanish,https://orcid.org/0000-0002-8060-663X,not found,,CIUDADANÍA GLOBAL,
1730,Doctoral Theses,Educar en la sostenibilidad comunitaria. La participación ciudadana en la recuperación del río Guadaíra.,"Pabón-Figueras, M.",,,,,,,,,,2016,Universidad de Sevilla,"['community work', 'Informal education including youth work, media']",,[],Spanish,https://idus.us.es/bitstream/handle/11441/39523/TESIS%20DEFINITIVA.pdf?sequence=6&isAllowed=y,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1731,Doctoral Theses,Participación ciudadana y gestión del agua. El caso de la recuperación ambiental del río Ayuquila.,"Rentería Rodríguez, M. T.",,,,,,,,,,2016,Universidad Complutense de Madrid,"['community work', 'Informal education including youth work, media']",,[],Spanish,https://eprints.ucm.es/39481/1/T37854.pdf,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1732,Doctoral Theses,Mujeres inmigrantes en Mallorca. Análisis del ejercicio de ciudadanía desde la teoría poscolonial.,"Rísquez Buonaffina, N.",,,,,,,,,,2016,UNED Universidad Nacional de Educación a Distancia,"['community work', 'Informal education including youth work, media']",,[],Spanish,http://e-spacio.uned.es/fez/eserv/tesisuned:CiencPolSoc-Mtrisquez/RISQUEZ_BUONAFFINA_Marielva_Tesis.pdf,not found,,EDUCACIÓN PARA LA TRANSFORMACIÓN SOCIAL,
1733,Doctoral Theses,"Comunicación y cultura de paz, una propuesta desde la paz compleja para transformar violencia simbólica para el cambio social. El caso elecciones a la alcaldía de Granada 2011.","Rueda Penagos, Z.",,,,,,,,,,2016,Universidad de Granada,"['community work', 'Informal education including youth work, media']",,[],Spanish,https://digibug.ugr.es/bitstream/handle/10481/45395/26438690.pdf?sequence=6&isAllowed=y,not found,,EDUCACIÓN PARA LA TRANSFORMACIÓN SOCIAL,
1736,Doctoral Theses,Movilidad internacional de estudiantes: escenarios de oportunidades para la creación de una clase cosmopolita,"Parra Cartagena, M. C.",,,,,,,,,,2016,Universidad Pontifica de Comillas,"['educational partnerships', 'International Volunteering, study visits']",,[],Spanish,https://repositorio.comillas.edu/jspui/handle/11531/11743,not found,,CIUDADANÍA GLOBAL,
1742,Doctoral Theses,Las Agendas 21 Locales en la Provincia de Valencia Análisis de los municipios firmantes de la Carta de Xàtiva,"Ivorra Catalá, E.",,,,,,,,,,2016,Universidad de Valencia,['Non-formal education'],,[],Spanish,http://roderic.uv.es/handle/10550/51928,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1743,Doctoral Theses,Aproximación a una metodología polisémica de la educación para la paz,"Martínez Real, C. N.",,,,,,,,,,2016,Universitat Jaume I,['Non-formal education'],,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=133100,not found,,CIUDADANÍA GLOBAL,
